oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
629103400010558,234823364,2460102.736899054,60102.2336458,17.361038,0.021669062,0,zg,217.5668949,23.0623776,0.861,-0.035,20230607233588,629,3,4,20.58,26.142244,0.04266862,-0.08755173,5.8318914e-05,30.0,1.01,1
629103400010558,235027435,2460104.7774803475,60104.2743519,17.549862,0.023542043,32768,zg,217.566929,23.0623777,3.939,0.058,20230609274340,629,3,4,21.62,26.429985,0.034474086,-0.16130127,3.028218e-05,30.0,1.059,1
629103400010558,235529152,2460109.794334828,60109.2915278,17.499987,0.023012426,0,zg,217.5668998,23.0623518,4.218,0.113,20230614291528,629,3,4,21.48,26.383387,0.028487504,-0.12847045,2.0496964e-05,30.0,1.136,1
629103400010558,235727874,2460111.78142437,60111.27875,17.514338,0.023162132,0,zg,217.5669056,23.0623706,4.276,0.358,20230616278715,629,3,4,21.77,26.32903,0.027588822,-0.110857934,1.9233672e-05,30.0,1.114,1
629103400010558,235925613,2460113.758673884,60113.2561343,17.622574,0.024362521,0,zg,217.566898,23.062372,3.745,0.33,20230618256134,629,3,4,21.8,26.422813,0.028505336,-0.12342426,2.0543104e-05,30.0,1.072,1
629103400010558,236220509,2460116.7074263515,60116.2050926,17.57912,0.02386514,0,zg,217.566906,23.0623955,4.9,0.221,20230621205081,629,3,4,21.59,26.455248,0.028029984,-0.120919056,2.0097834e-05,30.0,1.014,1
629103400010558,236425296,2460118.7551506422,60118.252963,17.42049,0.022220926,0,zg,217.5668981,23.0623884,1.781,0.024,20230623252847,629,3,4,20.91,26.385006,0.032086603,-0.09150028,2.8239905e-05,30.0,1.096,1
629103400010558,236627554,2460120.777585018,60120.275544,17.498236,0.022994304,0,zg,217.5668833,23.0623743,2.927,0.168,20230625275532,629,3,4,21.02,26.388075,0.031800017,-0.08948245,2.7147309e-05,30.0,1.186,1
629103400010558,236830062,2460122.802517079,60122.300625,17.36775,0.021729708,0,zg,217.5668963,23.0623157,1.159,0.004,20230627300613,629,3,4,20.14,26.32877,0.040615864,-0.05688466,7.49496e-05,30.0,1.34,1
629103400010558,237026922,2460124.7709699576,60124.2692245,17.57203,0.02378598,0,zg,217.5668882,23.0623451,1.97,0.087,20230629269213,629,3,4,20.54,26.387783,0.03732653,-0.10249578,4.473247e-05,30.0,1.205,1
629103400010558,237219857,2460126.7001765403,60126.1985764,17.654408,0.024740584,0,zg,217.5669513,23.0624025,1.911,0.142,20230701198565,629,3,4,20.34,26.39023,0.04092459,-0.1085907,6.224821e-05,30.0,1.034,1
629103400010558,237420788,2460128.709329089,60128.2078819,17.650707,0.024696032,0,zg,217.5669068,23.0623892,2.966,0.244,20230703207882,629,3,4,20.4,26.383352,0.04114545,-0.08538292,6.4885884e-05,30.0,1.057,1
629103400010558,238023901,2460134.7399962884,60134.2390162,17.583149,0.023910368,0,zg,217.566922,23.0623744,4.371,0.272,20230709239016,629,3,4,21.63,26.435186,0.030040177,-0.13628463,2.2984112e-05,30.0,1.193,1
629103400010558,238219864,2460136.6994720884,60136.1986458,17.619432,0.024325836,0,zg,217.5668942,23.0623551,4.013,0.28,20230711198611,629,3,4,21.69,26.427242,0.028216192,-0.12610257,2.047669e-05,30.0,1.083,1
629103400010558,238422437,2460138.7250414873,60138.224375,17.568674,0.023748707,32768,zg,217.5668861,23.0623882,4.052,0.486,20230713224363,629,3,4,21.12,25.990677,0.039403792,-0.090821646,4.0427003e-05,30.0,1.178,1
629103400010558,238619721,2460140.6977209216,60140.1972106,17.60814,0.024194948,0,zg,217.566879,23.0623607,3.561,0.476,20230715197199,629,3,4,21.67,26.369123,0.027448416,-0.074497916,1.9650213e-05,30.0,1.107,1
629103400010558,239122059,2460145.720701613,60145.2205903,17.676205,0.025006304,0,zg,217.5668566,23.0623718,4.42,0.474,20230720220590,629,3,4,21.77,26.367609,0.027871331,-0.08915597,1.979965e-05,30.0,1.245,1
629103400010558,239320005,2460147.7000119854,60147.2000579,17.704872,0.025364488,0,zg,217.5668458,23.0623619,2.278,0.112,20230722200058,629,3,4,21.23,26.367,0.031310447,-0.11327201,2.5910162e-05,30.0,1.179,1
629103400010558,239527924,2460149.7790368376,60149.2792477,17.671818,0.024952369,0,zg,217.5668941,23.0624068,3.272,0.257,20230724279248,629,3,4,21.03,26.124094,0.03767177,-0.074635126,3.6590096e-05,30.0,1.852,1
629103400010558,239822160,2460152.721165572,60152.2216088,17.640064,0.024568781,0,zg,217.5668872,23.0624172,4.57,0.366,20230727221586,629,3,4,21.01,26.322187,0.041387588,-0.07148788,4.603806e-05,30.0,1.359,1
629103400010558,240528700,2460159.786008304,60159.2870023,17.445736,0.022465471,32768,zg,217.5668959,23.0624305,1.176,-0.045,20230803287002,629,3,4,18.79,26.060114,0.03917488,-0.050654702,0.00029389784,30.0,2.61,1
629103400010558,240720708,2460161.7059422466,60161.2070833,17.689823,0.025175218,0,zg,217.5669101,23.0623491,4.064,0.43,20230805207083,629,3,4,21.4,26.336348,0.030946832,-0.08905046,2.4617997e-05,30.0,1.43,1
